frame_id,label,x1,y1,width,height,score
0,car,230.1451873779297,57.54082997639974,92.01761881510419,53.20020039876302,0.9180638194084167
1,car,230.3404490152995,57.3656972249349,91.01801554361981,53.690388997395836,0.9167749285697937
2,car,229.73948160807294,57.95739491780599,91.65761311848956,53.4332021077474,0.9276816844940186
3,car,229.83673095703125,57.950547536214195,91.78298950195312,53.41747919718424,0.9269711375236511
4,car,229.59660847981772,57.97492980957031,91.89712524414065,53.46244812011719,0.9194685816764832
5,car,229.90519205729169,58.0346425374349,91.28529866536456,53.34472656250001,0.9278736710548401
6,car,229.72760518391928,57.973670959472656,91.55985514322916,53.351720174153655,0.9262856245040894
7,car,229.7503153483073,58.04851531982422,91.56448364257812,53.34004720052084,0.9261059165000916
8,car,229.7472890218099,58.04300308227539,91.64850870768228,53.49724451700847,0.9236020445823669
9,car,229.71562703450522,58.10446421305339,91.59851074218753,53.6083984375,0.9195587038993835
10,car,229.88360087076825,58.178914388020836,91.07014973958331,53.581644694010414,0.9340724349021912
11,car,229.603271484375,58.207295735677086,91.69901529947919,53.75178019205729,0.9352033138275146
12,car,229.20252482096356,58.03932189941406,91.83822631835938,54.03737386067709,0.9302046298980713
13,car,229.0808868408203,58.1344477335612,91.60634358723962,54.16707356770833,0.9354762434959412
14,car,229.05242919921875,58.39089711507162,91.5189107259115,54.14708455403646,0.937203586101532
15,car,229.20430501302084,58.319155375162765,91.57526652018228,54.81773376464844,0.9069344401359558
16,car,229.9144999186198,59.42941029866537,90.27048746744794,54.043375651041664,0.906434178352356
17,car,230.01047770182294,60.1403554280599,91.0699462890625,53.48724365234376,0.8814448714256287
18,car,229.99539693196616,60.04850387573242,91.69637044270834,54.07991409301758,0.8807939291000366
19,car,229.84298706054688,59.92867787679037,92.07392374674481,54.31490580240885,0.8772598505020142
20,car,229.77335611979169,60.118357340494796,92.02438354492188,53.712310791015625,0.8504171967506409
21,car,230.23722330729169,59.23255920410156,91.66264851888019,54.63503519694011,0.8886826038360596
22,car,230.2979278564453,58.999932607014976,90.88241577148438,54.138495127360024,0.8859533071517944
23,car,230.35611470540366,58.815485636393234,91.46474202473959,54.098383585611984,0.8978419899940491
24,car,230.94154357910156,59.08513387044271,91.02030436197919,53.96204630533854,0.8951776027679443
25,car,231.4647420247396,59.16611989339193,90.60114542643228,54.76257324218751,0.9025012850761414
